Measurement date,Wind Speed,Wind Direction,Atmo. Movement W/E,Atmo. Movement S/N,Visibility
2017-01-09 10:00:00,2.4,290.0,207.79990873531383,21.983245655892514,433
2017-01-09 11:00:00,2.9,270.0,224.58275672433894,16.660964247687968,445
2017-01-09 12:00:00,3.7,270.0,243.4182767147956,12.032893457944883,527
2017-01-09 13:00:00,3.7,250.0,257.0431276880391,4.432581057500622,615
2017-01-09 14:00:00,4.0,320.0,256.5792692675252,15.463621038413905,783
2017-01-09 15:00:00,3.7,290.0,259.2855840153887,16.44863905119183,990
2017-01-09 16:00:00,3.3,290.0,261.65360941976917,17.310529812372515,954
2017-01-09 17:00:00,3.7,290.0,266.38966022853015,19.03431133473389,980
2017-01-09 18:00:00,3.1,270.0,267.46966022853013,19.034311334733893,1065
2017-01-09 19:00:00,4.2,270.0,271.7644012370764,15.09423928362218,1061
2017-01-09 20:00:00,3.3,270.0,272.48440123707644,15.094239283622176,1062
2017-01-09 21:00:00,3.3,320.0,269.6807180401525,24.194847267875637,990
2017-01-09 22:00:00,2.4,290.0,263.5915098574598,32.321245873293535,984
2017-01-09 23:00:00,2.7,270.0,263.23150985745986,32.32124587329354,976
2017-01-10 00:00:00,2.4,270.0,259.6315098574599,32.32124587329354,945
2017-01-10 01:00:00,2.6,270.0,257.1115098574599,32.32124587329354,1158
2017-01-10 02:00:00,2.6,250.0,259.47953526184034,31.459355112112853,1389
2017-01-10 03:00:00,2.8,270.0,260.91953526184034,31.459355112112853,1969
2017-01-10 04:00:00,2.3,270.0,257.3195352618403,31.459355112112853,1779
2017-01-10 05:00:00,1.5,250.0,251.95387541408422,29.612446338154246,1904
2017-01-10 06:00:00,1.3,290.0,244.1116368793623,31.213100608918374,1959
2017-01-10 07:00:00,1.0,250.0,234.8945303141916,29.981828092945968,1999
2017-01-10 08:00:00,1.2,230.0,225.60384230846554,27.20498561910012,1826
2017-01-10 09:00:00,1.1,230.0,217.83737830321675,24.65954668474143,1899
2017-01-10 10:00:00,2.1,290.0,216.82251027276791,24.290164929949704,2000
2017-01-10 11:00:00,3.5,270.0,218.9825102727679,24.290164929949704,1783
2017-01-10 12:00:00,4.3,270.0,221.1425102727679,24.290164929949704,1938
2017-01-10 13:00:00,4.1,270.0,223.38580456389965,28.845873239047616,1935
2017-01-10 14:00:00,5.1,270.0,232.48966298441346,17.814833258134332,1915
2017-01-10 15:00:00,5.1,290.0,237.22571379317444,19.538614780495703,2000
2017-01-10 16:00:00,6.2,290.0,247.03610475417935,23.109305076815684,2000
2017-01-10 17:00:00,4.2,270.0,249.639399045311,18.55359676771777,2000
2017-01-10 18:00:00,3.2,270.0,249.99939904531104,18.55359676771777,2000
2017-01-10 19:00:00,2.9,290.0,244.6897900063159,22.12428706403776,2000
2017-01-10 20:00:00,5.6,290.0,251.75399324135984,29.019413153483246,2000
2017-01-10 21:00:00,4.0,270.0,258.5176764382837,19.918805169229792,2000
2017-01-10 22:00:00,3.2,290.0,261.2239911861472,20.903823182007716,2000
2017-01-10 23:00:00,2.5,290.0,259.9612247732203,23.982004471938737,2000
2017-01-11 00:00:00,2.2,250.0,258.76359032984476,21.273204936799438,2000
2017-01-11 01:00:00,3.4,270.0,261.6435903298447,21.273204936799438,2000
2017-01-11 02:00:00,1.3,290.0,257.24582886456665,26.075167749091833,2000
2017-01-11 03:00:00,1.5,250.0,252.24016901681057,24.22825897513322,2000
2017-01-11 04:00:00,1.8,270.0,250.44016901681056,24.22825897513322,2000
2017-01-11 05:00:00,1.0,290.0,248.74872229939595,27.30644026506424,2000
2017-01-11 06:00:00,1.4,270.0,249.39096083411783,25.705785994300115,2000
2017-01-11 07:00:00,1.2,270.0,250.3280673992886,26.937058510272525,2000
2017-01-11 08:00:00,0.7,200.0,247.8806461661953,27.345875579737882,2000
2017-01-11 09:00:00,0.9,270.0,248.08711017144415,29.891314514096578,1963
2017-01-11 10:00:00,0.8,270.0,243.8630339583027,27.305642230554525,2000
2017-01-11 11:00:00,1.5,270.0,236.6630339583027,27.305642230554525,1918
2017-01-11 12:00:00,2.6,250.0,229.97855688885878,24.104333689026262,1983
2017-01-11 13:00:00,2.8,250.0,224.69065850638071,20.656770644303517,1994
2017-01-11 14:00:00,2.8,270.0,216.41065850638077,20.65677064430352,2000
2017-01-11 15:00:00,4.4,270.0,214.99790198875144,14.377280812844234,2000
2017-01-11 16:00:00,4.3,290.0,208.57040446257585,12.037863032496656,1933
2017-01-11 17:00:00,3.0,270.0,204.25040446257586,12.037863032496658,2000
2017-01-11 18:00:00,2.2,270.0,200.65040446257586,12.03786303249666,2000
2017-01-11 19:00:00,2.2,270.0,198.76001350157094,8.467172736176673,2000
2017-01-11 20:00:00,2.5,270.0,188.81581026652705,1.5720466467311844,2000
2017-01-11 21:00:00,2.5,250.0,182.87304385360022,-1.506134643199838,2000
2017-01-11 22:00:00,1.1,250.0,175.76896764045878,-6.800606461881195,2000
2017-01-11 23:00:00,1.9,250.0,173.7392315795612,-12.218205532159796,2000
2017-01-12 00:00:00,1.9,230.0,171.5366100138706,-13.906073247276423,2000
